path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?,LOC_before,LLOC_before,SLOC_before,Comments_before,Single comments_before,Multi_before,Blank_before,h1_before,h2_before,N1_before,N2_before,vocabulary_before,length_before,calculated_length_before,volume_before,difficulty_before,effort_before,time_before,bugs_before,McCabe_max_before,McCabe_sum_before,LOC_after,LLOC_after,SLOC_after,Comments_after,Single comments_after,Multi_after,Blank_after,h1_after,h2_after,N1_after,N2_after,vocabulary_after,length_after,calculated_length_after,volume_after,difficulty_after,effort_after,time_after,bugs_after,McCabe_max_after,McCabe_sum_after,SLOC_diff,difficulty_diff,LLOC_diff,N1_diff,h2_diff,volume_diff,bugs_diff,calculated_length_diff,Single comments_diff,vocabulary_diff,h1_diff,Multi_diff,time_diff,Blank_diff,effort_diff,length_diff,McCabe_max_diff,LOC_diff,Comments_diff,N2_diff,McCabe_sum_diff,file,repo_name,modified_McCabe_max_diff
rnacentral_pipeline\rnacentral\r2dt\parser.py,W0718,broad-exception-caught,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes," Catching Exception might hide unexpected exceptions (e.g., due to new code that will be added).  The method parse calls R2DTResultInfo.validate (in line 96).Validate is a sequence of assertions, hence the specific AssertionError can be used instead.  See https://stackoverflow.com/questions/1569049/making-pythons-assert-throw-an-exception-that-i-choose",6,magic strings,6,narrowed logged exception,108,70,79,1.0,1.0,12,16,9,32,21,40,41.0,61,188.5293250129808,326.8106722817031,5.625,1838.31003158458,102.12833508803222,0.1089368907605677,9.0,19.0,108,70,79,1.0,1.0,12,16,9,32,21,40,41.0,61,188.5293250129808,326.8106722817031,5.625,1838.31003158458,102.12833508803222,0.1089368907605677,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\rnacentral\genome_mapping\igv.py,W0718,broad-exception-caught,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes," Catching Exception might hide unexpected exceptions (e.g., due to new code that will be added).   The function ftp calls ftplib.FTP's quit (in line 40).The specific ftplib.all_errors   can be used instead.   See https://docs.python.org/3/library/ftplib.html",6,string construction with +,6,narrowed logged exception,84,50,50,1.0,1.0,15,18,4,63,52,105,67.0,157,384.5686351804948,952.3760029018704,3.333333333333333,3174.5866763395675,176.3659264633093,0.3174586676339567,23.0,28.0,84,50,50,1.0,1.0,15,18,4,63,52,105,67.0,157,384.5686351804948,952.3760029018704,3.333333333333333,3174.5866763395675,176.3659264633093,0.3174586676339567,23.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\databases\europepmc\stream.py,W0718,broad-exception-caught,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,"The function fallback calls fetch.lookup (in line 41). I changed to (fetch.UnknownReference, fetch.TooManyPublications) as discussed. Please note that I could not find where TooManyPublications is defined",7,regular,6,narrowed un-logged exception,81,46,53,1.0,1.0,12,15,4,8,5,8,12.0,13,32.0,46.60451250937504,2.0,93.20902501875008,5.178279167708337,0.015534837503125,9.0,19.0,81,46,53,1.0,1.0,12,15,4,8,5,8,12.0,13,32.0,46.60451250937504,2.0,93.20902501875008,5.178279167708337,0.015534837503125,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
bin\litscan-create-xml-metadata.py,C0301,line-too-long,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,Made a readable line shorter.,7,regular,5,Made a readable line shorter.,110,59,64,5.0,5.0,25,16,4,16,8,16,20.0,24,72.0,103.72627427729672,2.0,207.45254855459345,11.5251415863663,0.0345754247590989,5.0,7.0,111,59,65,5.0,5.0,25,16,4,16,8,16,20.0,24,72.0,103.72627427729672,2.0,207.45254855459345,11.5251415863663,0.0345754247590989,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\utils.py,C0301,line-too-long,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,Made a readable line shorter,7,regular,5,Made a readable line shorter,55,30,29,3.0,3.0,12,11,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,56,30,29,4.0,4.0,12,11,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\databases\evlncrnas\lookup.py,C0301,line-too-long,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,Made unreadable commented out line shorter.,6,bad variable names,6,Made an unreadable line readable,152,37,92,18.0,18.0,16,26,1,2,1,2,3.0,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,2.0,4.0,153,37,92,19.0,19.0,16,26,1,2,1,2,3.0,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\databases\evlncrnas\parser.py,C0301,line-too-long,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,Made a readable line shorter,6,many magic strings,5,Made a readable line shorter,348,160,247,15.0,14.0,25,62,5,18,10,19,23.0,29,86.66829050039843,131.18329672565338,2.638888888888889,346.17814413714086,19.232119118730047,0.0437277655752177,5.0,14.0,349,160,247,16.0,15.0,25,62,5,18,10,19,23.0,29,86.66829050039843,131.18329672565338,2.638888888888889,346.17814413714086,19.232119118730047,0.0437277655752177,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\databases\mgnify\prepare.py,C0301,line-too-long,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,Made a readable line shorter,7,regular,5,Made a readable line shorter,80,37,47,15.0,4.0,6,23,1,2,4,8,3.0,12,2.0,19.01955000865388,2.0,38.03910001730775,2.113283334294876,0.0063398500028846,6.0,8.0,81,37,48,16.0,4.0,6,23,1,2,4,8,3.0,12,2.0,19.01955000865388,2.0,38.03910001730775,2.113283334294876,0.0063398500028846,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\databases\plncdb\parser.py,C0301,line-too-long,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,Made a readable line shorter,6,some dead code (parameters in a call),5,Made a readable line shorter,162,64,94,20.0,7.0,28,33,4,24,12,24,28.0,36,118.03910001730776,173.06477719407374,2.0,346.1295543881475,19.22941968823041,0.0576882590646912,6.0,19.0,163,64,95,20.0,7.0,28,33,4,24,12,24,28.0,36,118.03910001730776,173.06477719407374,2.0,346.1295543881475,19.22941968823041,0.0576882590646912,6.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
bin\litscan-get-statistics.py,C0301,line-too-long,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,Made a readable line shorter,5,"Instead of using few columns in a single query, uses different queries",5,Made a readable line shorter,64,30,28,8.0,7.0,18,11,2,4,2,4,6.0,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,1.0,1.0,65,30,29,8.0,7.0,18,11,2,4,2,4,6.0,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.0051699250014423,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\cli\ensembl.py,C0301,line-too-long,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,Made a readable line shorter,7,regular,5,Made a readable line shorter,181,99,112,3.0,3.0,43,23,2,7,6,11,9.0,17,21.651484454403228,53.88872502451932,1.5714285714285714,84.68228218138749,4.704571232299305,0.0179629083415064,3.0,14.0,183,99,114,3.0,3.0,43,23,2,11,8,15,13.0,23,40.05374780501028,85.11011351724513,1.3636363636363635,116.05924570533423,6.447735872518569,0.0283700378390817,3.0,14.0,2.0,-0.20779220779220786,0.0,2.0,4.0,31.221388492725808,0.010407129497575301,18.402263350607054,0.0,4.0,0.0,0.0,1.7431646402192644,0.0,31.376963523946742,6.0,0.0,2.0,0.0,4.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\databases\tmrna\helpers.py,C0301,line-too-long,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,Made a readable line shorter,7,regular,5,Made a readable line shorter,64,50,53,0.0,0.0,0,11,4,9,5,10,13.0,15,36.52932501298081,55.506595772116384,2.2222222222222223,123.34799060470309,6.852666144705727,0.0185021985907054,6.0,18.0,65,50,54,0.0,0.0,0,11,5,11,6,12,16.0,18,49.66338827944709,72.0,2.727272727272727,196.36363636363637,10.909090909090908,0.024,6.0,18.0,1.0,0.5050505050505047,0.0,1.0,2.0,16.493404227883616,0.005497801409294602,13.134063266466278,0.0,3.0,1.0,0.0,4.056424764385182,0.0,73.01564575893329,3.0,0.0,1.0,0.0,2.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\rnacentral\precompute\utils.py,C0301,line-too-long,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,Made a readable line shorter,7,regular,5,Made a readable line shorter,177,72,67,1.0,1.0,76,33,13,36,22,41,49.0,63,234.2230163877574,353.7267201792581,7.402777777777778,2618.56030354923,145.47557241940166,0.1179089067264193,7.0,28.0,178,72,67,1.0,1.0,77,33,13,36,22,41,49.0,63,234.2230163877574,353.7267201792581,7.402777777777778,2618.56030354923,145.47557241940166,0.1179089067264193,7.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\rnacentral\search_export\compare.py,C0301,line-too-long,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,Made a readable line shorter,5,"variables data1 ad data2, magic numbers",5,Made a readable line shorter,88,48,56,3.0,4.0,15,13,8,17,9,18,25.0,27,93.48686830125578,125.38411712391756,4.235294117647059,531.0386137012979,29.50214520562766,0.0417947057079725,7.0,12.0,89,48,57,3.0,4.0,15,13,8,19,10,20,27.0,30,104.71062275542812,142.64662506490407,4.2105263157894735,600.6173686943329,33.367631594129605,0.0475488750216346,7.0,12.0,1.0,-0.024767801857585425,0.0,1.0,2.0,17.26250794098651,0.0057541693136621,11.223754454172337,0.0,2.0,0.0,0.0,3.865486388501946,0.0,69.57875499303498,3.0,0.0,1.0,0.0,2.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
rnacentral_pipeline\databases\psi_mi\tab.py,W0107,unnecessary-pass,1,1,RNAcentral/rnacentral-import-pipeline,https://github.com/RNAcentral/rnacentral-import-pipeline/pull/208,Yes,unneeded pass in the end of exception handling,6,"too many returns hurts structure, though in short functions",6,Cleaned a left over,202,103,143,1.0,1.0,12,46,8,41,24,44,49.0,68,243.65963218934144,381.8002693998342,4.2926829268292686,1638.9474979114834,91.0526387728602,0.1272667564666114,5.0,40.0,201,102,142,1.0,1.0,12,46,8,41,24,44,49.0,68,243.65963218934144,381.8002693998342,4.2926829268292686,1638.9474979114834,91.0526387728602,0.1272667564666114,5.0,40.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,RNAcentral_rnacentral-import-pipeline_interventions_October_05_2024.csv,RNAcentral/rnacentral-import-pipeline,
plugins\create_package.py,W0718,broad-exception-caught,1,1,SublimeText/PackageDev,https://github.com/SublimeText/PackageDev/pull/402,Yes," The function _create_package uses os.mkdir and catch exception. This is too wide since mkdir catches specific exception. That might catch and hide new exception (e.g., in case that more code will be added to the try section).  For the mkdir exceptions see: https://docs.python.org/3/library/os.html#os.mkdir",6,some function in the file with the main class,6,No exceptions hiding yet probably no new exceptions will be generated here,81,52,60,0.0,0.0,0,21,3,7,5,7,10.0,12,24.406371956566694,39.86313713864836,1.5,59.79470570797253,3.321928094887363,0.0132877123795494,6.0,21.0,83,54,62,0.0,0.0,0,21,3,7,5,7,10.0,12,24.406371956566694,39.86313713864836,1.5,59.79470570797253,3.321928094887363,0.0132877123795494,6.0,22.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,SublimeText_PackageDev_interventions_October_05_2024.csv,SublimeText/PackageDev,1
plugins\new_resource_file\__init__.py,C0325,superfluous-parens,1,1,SublimeText/PackageDev,https://github.com/SublimeText/PackageDev/pull/402,Yes,Removed unneeded parentheses in return statement ,7,regular,5,change to small to have impact,119,81,75,6.0,7.0,8,29,8,20,11,21,28.0,32,110.43856189774723,153.83535750584332,4.2,646.108501524542,35.894916751363446,0.0512784525019477,5.0,31.0,119,81,75,6.0,7.0,8,29,8,20,11,21,28.0,32,110.43856189774723,153.83535750584332,4.2,646.108501524542,35.894916751363446,0.0512784525019477,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SublimeText_PackageDev_interventions_October_05_2024.csv,SublimeText/PackageDev,
plugins\command_completions\__init__.py,C0325,superfluous-parens,1,1,SublimeText/PackageDev,https://github.com/SublimeText/PackageDev/pull/402,Yes," Removed unneeded parenthesis in python_arg_scope = (""source.python meta.function-call.arguments.python string.quoted"")  I suspected that the other might intended to create a tuple. To create a single element tuple you need a comma at the end like python_arg_scope = (""source.python meta.function-call.arguments.python string.quoted"",) So python_arg_scope was a string anyway  Also in line 262, in quite a similar code, there are no parenthesis. ",7,regular,5,change to small to have impact,286,146,221,7.0,3.0,15,47,9,42,30,49,51.0,79,255.0066567696888,448.1216020157482,5.25,2352.638410582678,130.70213392125987,0.1493738673385827,8.0,61.0,286,146,221,7.0,3.0,15,47,9,42,30,49,51.0,79,255.0066567696888,448.1216020157482,5.25,2352.638410582678,130.70213392125987,0.1493738673385827,8.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SublimeText_PackageDev_interventions_October_05_2024.csv,SublimeText/PackageDev,
