path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,Do you expect the change to improve the code?,Why do you consider the pull request to improve the code (or not improve it)?
sat\sgm\modules\ema.py,C0301, line-too-long,2,1, , , , , , , , 
inference\gradio_composite_demo\rife_model.py,C0301, line-too-long,2,1, , , , , , , , 
sat\arguments.py,R0912, too-many-branches,2,1, , , , , , , , 
sat\sgm\modules\autoencoding\regularizers\base.py,C0301, line-too-long,2,1, , , , , , , , 
inference\gradio_composite_demo\rife\refine_2R.py,C0301, line-too-long,5,0, , , , , , , , 
sat\sgm\modules\diffusionmodules\sigma_sampling.py,C0301, line-too-long,5,0, , , , , , , , 
sat\vae_modules\autoencoder.py,C0301, line-too-long,14,0, , , , , , , , 
inference\cli_demo.py,C0301, line-too-long,24,0, , , , , , , , 
inference\cli_vae_demo.py,C0301, line-too-long,16,0, , , , , , , , 
sat\sgm\modules\autoencoding\losses\lpips.py,C0301, line-too-long,4,0, , , , , , , , 
sat\sgm\modules\diffusionmodules\denoiser_scaling.py,C0301, line-too-long,5,0, , , , , , , , 
finetune\train_cogvideox_lora.py,C0301, line-too-long,98,0, , , , , , , , 
finetune\train_cogvideox_lora.py,C0302, too-many-lines,1,0, , , , , , , , 
finetune\train_cogvideox_lora.py,R0915, too-many-statements,2,0, , , , , , , , 
finetune\train_cogvideox_lora.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
inference\gradio_composite_demo\rife\IFNet_HDv3.py,C0301, line-too-long,5,0, , , , , , , , 
sat\sgm\modules\diffusionmodules\util.py,C0301, line-too-long,10,0, , , , , , , , 
sat\sgm\modules\autoencoding\regularizers\quantize.py,C0301, line-too-long,7,0, , , , , , , , 
sat\vae_modules\cp_enc_dec.py,C0301, line-too-long,18,0, , , , , , , , 
inference\gradio_composite_demo\rife\IFNet_2R.py,C0301, line-too-long,5,0, , , , , , , , 
tools\convert_weight_sat2hf.py,C0301, line-too-long,17,0, , , , , , , , 
inference\gradio_composite_demo\utils.py,C0301, line-too-long,9,0, , , , , , , , 
sat\sgm\models\autoencoder.py,C0301, line-too-long,13,0, , , , , , , , 
sat\sgm\webds.py,C0301, line-too-long,6,0, , , , , , , , 
sat\sgm\webds.py,R0912, too-many-branches,2,0, , , , , , , , 
sat\sgm\webds.py,R0915, too-many-statements,1,0, , , , , , , , 
sat\sgm\webds.py,W0718, broad-exception-caught,7,0, , , , , , , , 
sat\diffusion_video.py,C0301, line-too-long,10,0, , , , , , , , 
sat\sgm\modules\encoders\modules.py,R0912, too-many-branches,1,0, , , , , , , , 
tools\load_cogvideox_lora.py,C0301, line-too-long,5,0, , , , , , , , 
inference\gradio_composite_demo\rife\refine.py,C0301, line-too-long,5,0, , , , , , , , 
sat\sgm\modules\autoencoding\losses\discriminator_loss.py,C0301, line-too-long,4,0, , , , , , , , 
inference\gradio_composite_demo\rife\IFNet_m.py,C0301, line-too-long,7,0, , , , , , , , 
inference\gradio_composite_demo\rife\laplacian.py,C0301, line-too-long,4,0, , , , , , , , 
sat\sgm\modules\autoencoding\regularizers\lookup_free_quantization.py,C0301, line-too-long,7,0, , , , , , , , 
sat\sgm\modules\autoencoding\regularizers\lookup_free_quantization.py,R0915, too-many-statements,1,0, , , , , , , , 
sat\sample_video.py,C0301, line-too-long,8,0, , , , , , , , 
sat\sample_video.py,R0915, too-many-statements,1,0, , , , , , , , 
sat\sample_video.py,R1703, simplifiable-if-statement,1,0, , , , , , , , 
sat\sgm\modules\autoencoding\vqvae\movq_dec_3d_dev.py,C0301, line-too-long,6,0, , , , , , , , 
sat\train_video.py,C0301, line-too-long,5,0, , , , , , , , 
sat\data_video.py,C0301, line-too-long,9,0, , , , , , , , 
sat\data_video.py,W0718, broad-exception-caught,1,0, , , , , , , , 
sat\sgm\modules\autoencoding\losses\video_loss.py,C0301, line-too-long,16,0, , , , , , , , 
inference\convert_demo.py,C0301, line-too-long,13,0, , , , , , , , 
inference\gradio_composite_demo\rife\pytorch_msssim\__init__.py,C0301, line-too-long,16,0, , , , , , , , 
sat\vae_modules\utils.py,C0301, line-too-long,5,0, , , , , , , , 
sat\dit_video_concat.py,C0301, line-too-long,20,0, , , , , , , , 
sat\sgm\modules\autoencoding\vqvae\movq_dec_3d.py,C0301, line-too-long,4,0, , , , , , , , 
inference\gradio_composite_demo\rife\IFNet.py,C0301, line-too-long,5,0, , , , , , , , 
sat\sgm\modules\autoencoding\vqvae\quantize.py,C0301, line-too-long,9,0, , , , , , , , 
sat\sgm\modules\video_attention.py,C0301, line-too-long,2,0, , , , , , , , 
sat\sgm\util.py,C0301, line-too-long,5,0, , , , , , , , 
sat\sgm\modules\attention.py,C0301, line-too-long,15,0, , , , , , , , 
sat\sgm\modules\autoencoding\vqvae\movq_modules.py,C0301, line-too-long,6,0, , , , , , , , 
inference\gradio_composite_demo\app.py,C0301, line-too-long,29,0, , , , , , , , 
sat\sgm\modules\diffusionmodules\discretizer.py,C0301, line-too-long,5,0, , , , , , , , 
inference\gradio_composite_demo\rife\RIFE_HDv3.py,W0401, wildcard-import,2,0, , , , , , , , 
sat\sgm\modules\diffusionmodules\openaimodel.py,C0301, line-too-long,13,0, , , , , , , , 
sat\sgm\modules\diffusionmodules\openaimodel.py,C0302, too-many-lines,1,0, , , , , , , , 
sat\sgm\modules\diffusionmodules\openaimodel.py,R0912, too-many-branches,1,0, , , , , , , , 
inference\cli_demo_quantization.py,C0301, line-too-long,18,0, , , , , , , , 
sat\sgm\modules\autoencoding\magvit2_pytorch.py,C0301, line-too-long,54,0, , , , , , , , 
sat\sgm\modules\autoencoding\magvit2_pytorch.py,R0912, too-many-branches,2,0, , , , , , , , 
sat\sgm\modules\autoencoding\magvit2_pytorch.py,R0915, too-many-statements,2,0, , , , , , , , 
sat\sgm\modules\autoencoding\vqvae\vqvae_blocks.py,C0301, line-too-long,11,0, , , , , , , , 
sat\sgm\modules\diffusionmodules\model.py,C0301, line-too-long,12,0, , , , , , , , 
sat\sgm\modules\diffusionmodules\lora.py,C0301, line-too-long,15,0, , , , , , , , 
sat\vae_modules\attention.py,C0301, line-too-long,15,0, , , , , , , , 
sat\sgm\lr_scheduler.py,C0301, line-too-long,6,0, , , , , , , , 
inference\gradio_composite_demo\rife\RIFE.py,W0401, wildcard-import,5,0, , , , , , , , 
sat\sgm\modules\diffusionmodules\loss.py,C0301, line-too-long,8,0, , , , , , , , 
sat\sgm\modules\diffusionmodules\sampling.py,C0301, line-too-long,21,0, , , , , , , , 
sat\sgm\modules\distributions\distributions.py,C0301, line-too-long,3,0, , , , , , , , 
tools\llm_flux_cogvideox\llm_flux_cogvideox.py,C0301, line-too-long,6,0, , , , , , , , 
tools\llm_flux_cogvideox\llm_flux_cogvideox.py,R0801, duplicate-code,218,0, , , , , , , , 
sat\sgm\modules\autoencoding\vqvae\movq_enc_3d.py,C0301, line-too-long,14,0, , , , , , , , 
inference\gradio_web_demo.py,C0301, line-too-long,16,0, , , , , , , , 
sat\arguments.py,C0301, line-too-long,9,0, , , , , , , , 
sat\arguments.py,R0915, too-many-statements,1,0, , , , , , , , 
sat\arguments.py,W0718, broad-exception-caught,1,0, , , , , , , , 
sat\sgm\modules\autoencoding\regularizers\finite_scalar_quantization.py,C0301, line-too-long,4,0, , , , , , , , 
